Fire
No Such Thing
Armor
If I Can't Have You
Eyes on You
Miss Simone
Wicked Love
Orpheus
Poetry by Dead Men
Someone Who Loves Me
Saint Honesty
A Safe Place to Land (feat. John Legend)
Shiny
What's Inside
Opening Up
Door Number Three
When He Sees Me
Soft Place To Land
Never Ever Getting Rid Of Me
I Didn't Plan It
Bad Idea (feat. Jason Mraz)
You Matter To Me (feat. Jason Mraz)
She Used To Be Mine
Everything Changes
Lulu's Pie Song
Brave
Chasing The Sun
Hercules
Manhattan
Satellite Call
Little Black Dress
Cassiopeia
1000 Times
I Choose You
Eden
Islands
December
Kaleidoscope Heart
Uncharted
Gonna Get Over You
Hold My Heart
King of Anything
Say You're Sorry
The Light
Basket Case
Let The Rain
Machine Gun
Not Alone
Breathe Again
Bluebird
Love Song
Vegas
Bottle It Up
One Sweet Love
Come Round Soon
Morningside
Between the Lines
Love On the Rocks
City
Many the Miles
Fairytale
Gravity
Undertow
Love on the Rocks
Responsible
Inside Out
Red
My Love
